Ç“Ç„,pyu,pixyu,,,
Ç“Ç•,pye,pixe,,,
Ç“ÇÂ,pyo,pixyo,,,
Ç‹,ma,,,,
Ç›,mi,,,,
Çﬁ,mu,,,,
Çﬂ,me,,,,
Ç‡,mo,,,,
Ç›Ç·,mya,mixya,,,
Ç›Ç°,myi,mixi,,,
Ç›Ç„,myu,mixyu,,,
Ç›Ç•,mye,mixe,,,
Ç›ÇÂ,myo,mixyo,,,
Ç‚,ya,,,,
Ç‰,yu,,,,
ÇÊ,yo,,,,
Ç·,lya,xya,,,
Ç„,lyu,xyu,,,
ÇÂ,lyo,xyo,,,
ÇÁ,ra,,,,
ÇË,ri,,,,
ÇÈ,ru,,,,
ÇÍ,re,,,,
ÇÎ,ro,,,,
ÇËÇ·,rya,rixya,,,
ÇËÇ°,ryi,rixi,,,
ÇËÇ„,ryu,rixyu,,,
ÇËÇ•,rye,rixe,,,
ÇËÇÂ,ryo,rixyo,,,
ÇÌ,wa,,,,
Ç,wo,,,,
ÇÒ,n,nn,n,,
ÇÏ,lwa,xwa,,,
Å[,-,,,,
